,UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Aggressive
1,1,January 02 2015,DOG,"Poodle, Standard",3,M,TRUE,Brooklyn,11238,Friendly
2,4,January 01 2015,DOG,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn,11221,Agressive
3,5,January 03 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,11207,Agressive
4,6,January 05 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn,11209,Agressive
5,7,January 04 2015,DOG,MORKIE,1,M,FALSE,Brooklyn,11220,Friendly
6,8,January 05 2015,DOG,Chihuahua,1,M,FALSE,Brooklyn,11237,Friendly
7,13,January 05 2015,DOG,Shih Tzu,4,F,FALSE,Brooklyn,11205,Friendly
8,16,January 05 2015,DOG,Shih Tzu,3,M,TRUE,Brooklyn,11224,Friendly
9,17,January 09 2015,DOG,Pit Bull,2,M,TRUE,Brooklyn,11213,Agressive
10,19,January 10 2015,DOG,Yorkshire Terrier,1,F,FALSE,Brooklyn,11237,Friendly
11,20,January 13 2015,DOG,Dachshund Smooth Coat,12,M,TRUE,Brooklyn,11217,Friendly
12,22,January 16 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11235,Agressive
13,23,January 12 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11207,Friendly
14,24,January 17 2015,DOG,Chihuahua,7M,M,FALSE,Brooklyn,11213,Friendly
15,25,January 21 2015,DOG,Yorkshire Terrier,8M,M,FALSE,Brooklyn,11206,Friendly
16,26,January 22 2015,DOG,Labrador Retriever,5,M,TRUE,Brooklyn,11229,Friendly
17,28,January 27 2015,DOG,Jack Russ,11,M,FALSE,Brooklyn,11217,Friendly
18,30,January 25 2015,DOG,Chihuahua,1,F,FALSE,Brooklyn,11213,Friendly
19,37,January 23 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229,Agressive
20,39,February 04 2015,DOG,Pomeranian,1,F,FALSE,Brooklyn,11216,Friendly
21,40,February 05 2015,DOG,Dalmatian,10,M,TRUE,Brooklyn,11214,Friendly
22,43,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,11252,Friendly
23,45,February 07 2015,DOG,Pit Bull,5,M,TRUE,Brooklyn,11214,Agressive
24,51,February 07 2015,DOG,RAT TERRIER,5,M,TRUE,Brooklyn,11208,Friendly
25,52,January 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,11228,Agressive
26,53,February 11 2015,DOG,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn,11235,Agressive
27,54,February 11 2015,DOG,RAT TERRIER,13,F,TRUE,Brooklyn,11209,Friendly
28,55,February 09 2015,DOG,American Pit Bull Terrier/Pit Bull,10,F,TRUE,Brooklyn,11232,Agressive
29,56,February 12 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229,Agressive
30,62,February 13 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,TRUE,Brooklyn,11221,Agressive
31,64,February 15 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Brooklyn,11207,Agressive
32,66,February 18 2015,DOG,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233,Friendly
33,67,February 17 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Brooklyn,11207,Agressive
34,68,February 19 2015,DOG,SPRINGER SPANIEL,7,U,TRUE,Brooklyn,11213,Friendly
35,72,February 22 2015,DOG,Pit Bull,10,M,TRUE,Brooklyn,11235,Agressive
36,73,February 24 2015,DOG,Pit Bull,1,F,FALSE,Brooklyn,11215,Agressive
37,74,February 24 2015,DOG,Pit Bull,10,F,TRUE,Brooklyn,11210,Agressive
38,79,February 22 2015,DOG,FOX HOUND,3,F,TRUE,Brooklyn,11209,Friendly
39,81,February 26 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11226,Agressive
40,82,February 28 2015,DOG,Weimaraner,11,M,TRUE,Brooklyn,11230,Friendly
41,85,March 01 2015,DOG,American Pit Bull Mix / Pit Bull Mix,6,F,TRUE,Brooklyn,11225,Agressive
42,86,February 28 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11228,Agressive
43,90,March 06 2015,DOG,American Pit Bull Mix / Pit Bull Mix,10,F,FALSE,Brooklyn,11206,Agressive
44,91,March 07 2015,DOG,"Bull Dog, English",2,M,TRUE,Brooklyn,11201,Friendly
45,92,February 27 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11206,Agressive
46,93,March 07 2015,DOG,BULLDOG/SHARPEI,11,M,TRUE,Brooklyn,11233,Friendly
47,94,March 08 2015,DOG,Shih Tzu,4,M,FALSE,Brooklyn,11234,Friendly
48,97,March 12 2015,DOG,Jack Russ,7M,M,FALSE,Brooklyn,11208,Friendly
49,99,February 26 2015,DOG,Pit Bull,2,M,FALSE,Brooklyn,11216,Agressive
50,100,March 13 2015,DOG,Pug,6,M,TRUE,Brooklyn,11231,Friendly
51,101,March 15 2015,DOG,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205,Friendly
52,102,March 14 2015,DOG,Chow Chow,3,M,FALSE,Brooklyn,11234,Agressive
53,103,March 15 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230,Agressive
54,104,March 14 2015,DOG,SHEPHERD MIX,5,M,TRUE,Brooklyn,11229,Friendly
55,105,March 16 2015,DOG,Maltese,7,M,TRUE,Brooklyn,11221,Friendly
56,106,March 18 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn,11207,Agressive
57,107,March 16 2015,DOG,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221,Friendly
58,109,March 16 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Brooklyn,11234,Agressive
59,113,March 22 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11223,Friendly
60,114,March 21 2015,DOG,Doberman Pinscher,8,F,FALSE,Brooklyn,11204,Agressive
61,115,March 22 2015,DOG,Shih Tzu,7,M,TRUE,Brooklyn,11208,Friendly
62,117,March 21 2015,DOG,"Bull Dog, French",6,M,TRUE,Brooklyn,11217,Friendly
63,118,February 02 2015,DOG,Pekingese,4,M,FALSE,Brooklyn,11238,Friendly
64,119,March 15 2015,DOG,Chihuahua,6,M,FALSE,Brooklyn,11221,Friendly
65,120,March 25 2015,DOG,TERRIER,5,M,FALSE,Brooklyn,11027,Friendly
66,121,March 29 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11224,Agressive
67,122,March 20 2015,DOG,HARRIER/BEAGLE,10 M,M,TRUE,Brooklyn,11235,Friendly
68,124,March 28 2015,DOG,"Dachshund, Long Haired Miniature",4,M,TRUE,Brooklyn,11234,Friendly
69,126,March 24 2015,DOG,BOXER X W/ PIT BULL,8,M,TRUE,Brooklyn,11231,Agressive
70,128,April 03 2015,DOG,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233,Friendly
71,130,April 06 2015,DOG,Bull dog,8M,M,FALSE,Brooklyn,11213,Friendly
72,132,April 06 2015,DOG,American Pit Bull Terrier/Pit Bull,4,F,TRUE,Brooklyn,11212,Agressive
73,134,March 27 2015,DOG,BOXER/RHODESIAN RIDGEBACK X,5,F,FALSE,Brooklyn,11214,Friendly
74,135,April 06 2015,DOG,Chihuahua Crossbreed,4M,M,FALSE,Brooklyn,11205,Friendly
75,136,April 06 2015,DOG,"Poodle, Standard",2,M,FALSE,Brooklyn,11213,Friendly
76,138,April 01 2015,DOG,Bull Terrier,1,M,FALSE,Brooklyn,11201,Friendly
77,139,April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,TRUE,Brooklyn,11235,Friendly
78,141,April 06 2015,DOG,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219,Friendly
