ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
14-Jul,29.99,5,267,Party on with Superman™ and friends!,70919,Easy,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,29.99,24,305,Put the heat on The Penguin™ Arctic Roller with Batman™!,70911,Easy,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,29.99,11,293,Join Batman™ in a comical food fight!,70920,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,29.99,18,254,Battle with Batman™ against The Riddler™ and his allies!,70903,Easy,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,19.99,2,198,Bring down Captain Boomerang™ with Batman’s Bat-Dune Buggy!,70918,NA,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,19.99,8,204,Help Batman™ to stop Scarecrow™ delivering a special scare pizza!,70910,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,19.99,19,201,Protect the power plant from Mr. Freeze’s ice attack!,70901,Easy,THE LEGO® BATMAN MOVIE,Licensed
12-Jun,14.99,7,141,Power into the sky to stop Scarecrow’s fear gas attacks!,70913,Easy,THE LEGO® BATMAN MOVIE,Licensed
12-Jun,14.99,18,124,Help Batman™ stop The Joker™ escaping!,70900,Easy,THE LEGO® BATMAN MOVIE,Licensed
7+,16.99,19,61,Display THE LEGO® BATMAN MOVIE minifigures!,853638,Very Easy,THE LEGO® BATMAN MOVIE,Licensed
5+,3.99,13,8,Discover new heroes and villains in LEGO® Minifigures—THE LEGO BATMAN MOVIE Series 2.,71020,Very Easy,Minifigures,Non-Licensed
14-Sep,79.99,15,775,Save the day with Batman™ and The Scuttler!,70908,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,69.99,10,460,Speed after Killer Croc’s Tail-Gator on Batman’s Batski!,70907,Easy,THE LEGO® BATMAN MOVIE,Licensed
14-Sep,59.99,6,564,Don’t get on the wrong side of the Two-Face™ Excavator!,70915,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,34.99,13,448,Duel against the mighty Clayface™ with Batman™!,70904,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,19.99,27,139,Stop Catwoman™ escaping with the diamonds!,70902,Easy,THE LEGO® BATMAN MOVIE,Licensed
10+,9.99,11,91,Celebrate THE LEGO® BATMAN MOVIE with a LEGO BrickHeadz Batman!,41585,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,12,151,Show off the evil trickster with LEGO® BrickHeadz The Joker™!,41588,Easy,BrickHeadz,Non-Licensed
10+,9.99,10,101,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,41587,Very Easy,BrickHeadz,Non-Licensed
10+,9.99,9,99,Channel Batgirl™ with your own LEGO® BrickHeadz version!,41586,Easy,BrickHeadz,Non-Licensed
14-Sep,159.99,52,2295,Join the ninja aboard Wu’s flying ship!,70618,Challenging,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,99.99,15,1403,Evade the traps inside the Temple!,70617,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,89.99,11,1202,Turn sound into a weapon with Cole’s Quake Mech!,70632,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,79.99,9,830,Defend NINJAGO® City from Garmadon Shark Mech attack!,70656,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,79.99,6,914,Take on the shark army with Zane’s Ice Tank!,70616,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,69.99,19,944,Put the heat on the shark army with Kai’s Fire Mech!,70615,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,59.99,8,747,Defend NINJAGO® City against Garma Mecha Man!,70613,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,59.99,8,876,Speed to the rescue with Jay’s Lightning Jet!,70614,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,49.99,7,521,Get all fired up at Garmadon’s Volcano Lair!,70631,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,49.99,29,544,Take on Garmadon with the Green Ninja Mech Dragon!,70612,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,29.99,21,494,Smash the shark army out of the water with the Water Strider!,70611,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,29.99,10,312,Battle against evil Jungle Garmadon on the jungle bridge!,70608,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,29.99,6,341,Protect NINJAGO® City from flying Manta Ray Bomber attack!,70609,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,29.99,7,341,Take on the tentacular Flying Jelly Sub with Jay!,70610,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,19.99,8,217,Stop a Piranha Attack with Kai and Misako!,70629,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,19.99,18,233,Stop a crime in the NINJAGO® City street market!,70607,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jun,9.99,1,48,Achieve Spinjitzu greatness with the Green Ninja!,70628,Very Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jun,9.99,11,109,Practice your Spinjitzu skills with Kai and Zane!,70606,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
10+,9.99,7,102,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,41487,Easy,BrickHeadz,Non-Licensed
10+,9.99,5,89,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,41488,Very Easy,BrickHeadz,Non-Licensed
5+,3.99,22,8,Bring the NINJAGO® world to life with LEGO® Minifigures!,71019,Very Easy,Minifigures,Non-Licensed
